date,city_code,tmv_city_crores,company,ms_pct
01/01/2022,400001,286.29,Atliqo,21.2
01/01/2022,110001,241.59,Atliqo,17.68
01/01/2022,700001,222.19,Atliqo,16.61
01/01/2022,560001,195.41,Atliqo,19.14
01/01/2022,600001,166.78,Atliqo,18.47
01/01/2022,500001,148.68,Atliqo,19
01/01/2022,411001,141.3,Atliqo,17.14
01/01/2022,380001,110.08,Atliqo,19.05
01/01/2022,302001,79.05,Atliqo,28.1
01/01/2022,226001,67.6,Atliqo,17.54
01/01/2022,800008,55.78,Atliqo,26.15
01/01/2022,641001,50.24,Atliqo,15.57
01/01/2022,160017,36.57,Atliqo,17.36
01/01/2022,122001,27.89,Atliqo,19.07
01/01/2022,492001,17.55,Atliqo,24.35
01/02/2022,400001,328.6,Atliqo,18.62
01/02/2022,110001,277.3,Atliqo,19.54
01/02/2022,700001,255.04,Atliqo,15.48
01/02/2022,560001,224.3,Atliqo,20.98
01/02/2022,600001,191.44,Atliqo,29.2
01/02/2022,500001,170.66,Atliqo,20.2
01/02/2022,411001,162.18,Atliqo,17.67
01/02/2022,380001,126.35,Atliqo,16.33
01/02/2022,302001,90.74,Atliqo,17.27
01/02/2022,226001,77.59,Atliqo,31.93
01/02/2022,800008,64.02,Atliqo,18.3
01/02/2022,641001,57.66,Atliqo,20.71
01/02/2022,160017,41.98,Atliqo,15.11
01/02/2022,122001,32.01,Atliqo,29.52
01/02/2022,492001,20.14,Atliqo,20.99
01/03/2022,400001,305.81,Atliqo,18.73
01/03/2022,110001,258.07,Atliqo,18.98
01/03/2022,700001,237.35,Atliqo,28.36
01/03/2022,560001,208.74,Atliqo,20.06
01/03/2022,600001,178.16,Atliqo,17.12
01/03/2022,500001,158.83,Atliqo,17.6
01/03/2022,411001,150.93,Atliqo,20.43
01/03/2022,380001,117.59,Atliqo,24.62
01/03/2022,302001,84.44,Atliqo,20.25
01/03/2022,226001,72.21,Atliqo,20.68
01/03/2022,800008,59.58,Atliqo,17.83
01/03/2022,641001,53.67,Atliqo,31.89
01/03/2022,160017,39.07,Atliqo,19.23
01/03/2022,122001,29.79,Atliqo,20.26
01/03/2022,492001,18.74,Atliqo,18.48
01/04/2022,400001,324.26,Atliqo,20.12
